DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
04/20/2026,1,14045.89,15292.4,14945.6,13932.7,3076.89,3665.7,3852.4,3722.9,1119.3,1437.6,1127.7,991.7,1237.97,1003.5,1260.5,1149.9,7575.91,8039.8,7659.1,7107.1,1035.82,1145.8,1045.9,961.1,15009.34,N
04/20/2026,2,14507.53,14154.2,15115.1,14100.7,3071.29,3495.9,3733.0,3596.8,1297.07,1184.2,1229.0,1126.5,1104.2,1071.5,1047.6,947.4,8001.79,7329.0,8065.3,7478.9,1033.18,1073.6,1040.2,951.1,15220.13,N
04/20/2026,3,14762.56,13395.5,15638.9,14606.0,3100.41,3235.2,3436.4,3302.8,1199.74,1060.8,1264.7,1145.5,1283.38,952.3,1314.0,1199.8,8127.09,7180.3,8575.6,7997.0,1051.94,966.9,1048.2,960.9,15624.54,N
04/20/2026,4,13402.37,13080.4,14175.5,13169.9,2821.5,3053.4,3132.5,3003.3,814.99,1110.7,846.7,715.9,1220.62,940.4,1176.9,1064.4,7493.26,7018.2,7945.0,7396.4,1052.0,957.7,1074.4,989.9,14235.67,N
04/20/2026,5,12525.89,12734.0,13132.2,12148.5,2558.37,2708.8,2790.1,2665.6,643.27,1189.9,704.4,578.2,1322.99,1142.6,1317.6,1208.1,7119.8,6746.7,7438.9,6897.3,881.46,946.0,881.2,799.3,13300.39,N
04/20/2026,6,11059.1,11562.1,11860.9,10914.7,2234.77,2380.6,2574.2,2449.5,635.64,920.8,622.7,529.9,1032.32,1092.0,1046.7,937.5,6387.91,6228.3,6805.5,6267.5,768.46,940.4,811.8,730.3,12002.24,N
04/20/2026,7,9801.14,10309.6,10377.5,9471.5,1759.74,2136.9,2049.1,1929.0,821.41,796.9,816.8,704.1,1057.76,1100.8,1014.9,913.0,5434.61,5561.5,5813.8,5320.1,727.62,713.5,682.9,605.3,10421.77,N
04/20/2026,8,8208.42,8882.2,8832.6,7960.4,1673.36,1974.7,1914.8,1788.2,899.34,816.8,914.6,812.3,1067.43,867.6,1103.3,991.2,3667.3,4588.0,4030.1,3578.7,900.99,635.1,869.8,790.0,8925.44,N
04/20/2026,9,6645.67,7902.8,6852.0,6016.1,1276.65,1587.2,1465.2,1341.3,941.6,936.2,941.2,850.4,1010.04,880.8,987.4,883.7,2729.85,3957.4,2772.9,2331.6,687.53,541.2,685.3,609.1,7016.4,N
04/20/2026,10,5765.26,6873.1,6191.3,5375.6,876.36,1582.6,1052.8,937.5,955.58,971.1,960.3,855.9,956.01,863.7,1001.9,896.9,2337.66,2888.9,2524.7,2101.2,639.65,566.8,651.6,584.1,6144.42,N
