DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
01/19/2026,1,18700.18,16773.0,19329.6,18209.5,2398.77,2576.2,2645.4,2508.4,1206.52,1309.8,1211.9,1052.0,3216.2,2968.5,3381.4,3259.6,10489.57,8896.6,10736.3,10122.8,1389.12,1021.9,1354.6,1266.7,19416.55,N
01/19/2026,2,18995.18,17223.5,19877.6,18766.3,2468.91,2726.1,2796.6,2658.6,1178.25,1239.4,1187.0,1025.8,3087.04,2951.8,3301.2,3179.0,10743.6,9241.8,11090.1,10490.1,1517.38,1064.4,1502.7,1412.8,20059.67,N
01/19/2026,3,18108.02,17581.1,19465.8,18353.6,2478.26,2884.5,3196.9,3058.2,1079.33,1116.1,1089.1,927.4,2964.23,2813.5,3145.1,3022.5,10154.5,9456.3,10604.5,10004.8,1431.7,1310.7,1430.2,1340.7,19664.11,N
01/19/2026,4,17131.08,17409.9,18373.1,17269.8,2604.34,3061.6,3296.7,3156.7,983.68,975.8,957.3,794.8,2862.22,2639.6,3015.3,2891.7,9475.41,9538.8,9868.0,9268.8,1205.43,1194.1,1235.8,1157.8,18622.38,N
01/19/2026,5,16682.67,16718.0,18480.5,17375.9,2576.84,3212.0,3779.1,3633.4,960.19,748.6,941.7,771.6,2751.0,2431.0,2991.6,2862.5,9439.62,9273.3,9797.4,9217.5,955.02,1053.1,970.7,890.9,18617.52,N
01/19/2026,6,16147.12,15942.6,17886.2,16787.5,2651.96,3159.8,3788.7,3637.6,855.56,609.7,840.9,665.7,2536.46,2251.0,2727.8,2593.9,9280.12,9004.5,9726.6,9175.3,823.02,917.6,802.2,715.0,18034.16,N
01/19/2026,7,15812.77,16207.4,17074.1,15988.2,2647.85,3248.8,3671.8,3523.2,728.37,595.4,717.6,550.5,2211.08,2176.4,2297.0,2163.8,9264.7,9392.2,9459.1,8908.3,960.77,794.6,928.6,842.4,17292.78,N
01/19/2026,8,16415.1,16029.2,17795.2,16695.6,2732.7,3135.4,3694.0,3543.7,574.36,541.9,578.1,423.6,2038.34,2018.4,2143.2,2019.8,10130.41,9588.7,10449.7,9867.2,939.29,744.8,930.2,841.3,17887.02,N
01/19/2026,9,15419.06,15246.5,16960.7,15876.7,2623.51,3061.9,3609.4,3460.7,482.21,483.3,477.4,333.8,1659.07,1805.4,1873.6,1752.2,9725.59,9140.7,10062.4,9479.4,928.68,755.2,937.9,850.6,17132.51,N
01/19/2026,10,12636.02,14641.1,15482.4,14421.5,2031.08,3062.5,3547.6,3396.5,364.83,362.0,279.2,157.6,985.77,1427.7,1121.0,1000.8,8553.9,9075.8,9750.1,9178.2,700.44,713.1,784.5,688.4,15758.95,N
01/19/2026,11,13199.05,14155.4,16120.9,15049.0,1557.84,2882.6,3274.8,3122.5,868.21,505.5,831.2,700.7,1189.68,1190.1,1260.7,1146.4,8961.17,8913.6,10125.3,9525.2,622.15,663.6,628.9,554.2,16267.28,N
01/19/2026,12,15472.98,14534.2,18416.4,17312.9,1661.78,2635.3,3183.0,3041.7,1216.22,681.2,1183.0,1018.0,1628.12,1211.8,1850.3,1725.0,10356.98,9389.0,11524.4,10920.5,609.88,616.9,675.7,607.7,18536.04,N
01/19/2026,13,17204.2,16022.7,20553.0,19454.6,1605.36,2337.0,3081.4,2943.0,1532.24,1299.1,1636.0,1470.8,1805.84,1625.4,2150.1,2025.1,11542.27,10147.9,12951.5,12338.8,718.49,613.3,734.0,676.9,20870.96,N
01/19/2026,14,17555.58,17458.2,21431.1,20330.7,1656.32,1999.8,2729.3,2592.8,1787.85,1814.2,2030.4,1866.5,1675.16,1776.8,2057.6,1934.0,11673.81,11134.4,13729.1,13123.9,762.44,733.0,884.7,813.5,21766.02,N
01/19/2026,15,17202.73,17828.0,21109.4,20012.5,1394.53,1466.7,2292.9,2158.0,2129.41,2319.6,2536.2,2374.6,1665.54,1858.8,2018.7,1897.0,11170.22,11399.1,13246.1,12654.3,843.03,783.8,1015.5,928.6,21486.24,N
01/19/2026,16,16869.13,17968.1,21026.2,19928.4,994.72,1116.0,1725.7,1587.5,2300.95,2576.4,2917.9,2751.6,1870.14,1917.2,2181.8,2062.3,10693.76,11398.0,13016.8,12434.3,1009.56,960.5,1184.0,1092.7,21361.67,N
01/19/2026,17,17813.05,17993.9,21046.4,19948.8,768.09,804.9,1201.8,1069.6,2690.59,2753.8,3234.0,3068.4,2208.21,2038.5,2481.1,2361.2,10751.25,11283.2,12648.2,12058.7,1394.91,1113.5,1481.3,1390.9,21376.5,N
01/19/2026,18,20381.23,17596.0,21247.4,20147.0,522.56,562.3,610.3,523.0,2781.82,2786.8,3123.4,2953.7,2561.1,2269.5,2607.1,2479.7,12622.93,10622.1,13053.5,12432.0,1892.82,1355.3,1853.1,1758.6,21508.42,N
01/19/2026,19,19534.66,18246.0,20262.7,19158.4,259.98,529.5,310.7,229.3,2412.12,2471.6,2445.4,2277.3,2531.17,2545.0,2543.4,2416.4,12232.96,10964.0,12881.8,12247.9,2098.43,1735.9,2081.4,1987.5,20371.36,N
01/19/2026,20,18520.74,18506.3,19246.2,18129.3,199.15,428.2,268.4,173.5,2158.17,2184.5,2134.2,1966.0,2700.61,2731.6,2727.6,2601.2,11354.16,11292.0,12008.9,11375.4,2108.65,1870.0,2107.1,2013.2,19310.53,N
01/19/2026,21,16446.91,17811.4,17340.8,16252.5,236.02,517.3,282.0,173.2,1932.4,1915.7,1960.5,1799.2,2535.58,2709.9,2631.2,2510.0,9745.6,10708.3,10454.7,9847.2,1997.31,1960.2,2012.4,1922.9,17438.21,N
01/19/2026,22,13929.72,16100.1,14756.1,13706.1,546.01,841.3,618.2,508.0,1520.71,1755.7,1529.8,1374.8,2410.78,2624.6,2505.6,2388.4,7601.48,9070.3,8229.7,7648.5,1850.74,1808.2,1872.8,1786.4,14885.15,N
01/19/2026,23,11950.03,13784.9,12651.8,11657.1,863.66,1061.2,969.9,874.4,1301.93,1561.4,1319.2,1171.8,2343.64,2435.2,2463.3,2350.7,5840.99,7015.8,6269.2,5712.6,1599.81,1711.3,1630.2,1547.6,12772.78,N
01/19/2026,24,10291.62,11401.7,10892.9,9944.5,1171.87,1286.5,1234.1,1146.5,980.78,1170.2,1016.8,877.0,2150.58,2317.7,2279.9,2171.1,4542.86,5100.1,4896.3,4364.6,1445.53,1527.2,1465.8,1385.3,11016.87,N
01/20/2026,1,,9614.0,9423.2,8513.6,,1466.5,1565.8,1477.3,,984.0,854.4,722.6,,2118.7,2118.1,2007.8,,3751.3,3621.3,3123.7,,1293.5,1263.6,1182.2,,N
01/20/2026,2,,8459.3,8332.8,7442.3,,1639.7,1732.7,1632.4,,966.2,834.4,705.3,,1867.8,1894.8,1788.1,,2897.0,2818.9,2343.5,,1088.6,1052.0,973.0,,N
01/20/2026,3,,7367.0,7520.6,6628.2,,1896.6,1916.3,1800.0,,798.6,798.6,667.7,,1661.5,1681.4,1574.5,,2102.8,2216.8,1757.5,,907.5,907.5,828.5,,N
01/20/2026,4,,6800.7,6933.1,6040.4,,2090.5,2120.1,1997.8,,771.3,771.3,640.9,,1490.5,1503.8,1395.0,,1654.7,1744.2,1293.7,,793.7,793.7,713.0,,N
01/20/2026,5,,6439.8,6589.5,5685.3,,2281.2,2349.2,2219.8,,785.7,785.7,645.8,,1383.9,1394.6,1280.4,,1313.1,1384.1,946.7,,675.9,675.9,592.6,,N
01/20/2026,6,,6285.7,6439.7,5493.8,,2432.9,2513.4,2369.0,,830.2,830.2,670.0,,1379.7,1391.3,1263.7,,1085.1,1147.0,721.9,,557.8,557.8,469.2,,N
01/20/2026,7,,6073.0,6239.0,5234.5,,2502.2,2610.0,2453.4,,900.5,900.5,722.8,,1370.0,1382.0,1243.3,,867.0,913.2,470.8,,433.3,433.3,344.2,,N
01/20/2026,8,,5852.7,6021.9,4972.9,,2589.0,2715.9,2545.1,,963.8,963.8,770.0,,1238.6,1250.0,1099.7,,738.8,769.7,325.9,,322.5,322.5,232.2,,N
01/20/2026,9,,5538.1,5655.8,4593.4,,2635.7,2725.9,2543.9,,927.5,927.5,722.5,,1048.6,1058.7,901.5,,742.1,759.5,325.3,,184.2,184.2,100.2,,N
01/20/2026,10,,4649.8,4786.0,3759.7,,2255.5,2375.8,2179.5,,820.3,820.3,604.9,,794.0,803.6,639.0,,697.3,703.6,302.6,,82.7,82.7,33.7,,N
01/20/2026,11,,4209.1,4349.1,3321.7,,2003.3,2125.4,1924.8,,775.5,775.5,554.0,,628.3,638.2,473.6,,736.8,744.8,336.4,,65.2,65.2,32.9,,N
01/20/2026,12,,4995.4,5178.8,4059.9,,2401.3,2561.0,2369.4,,796.0,796.0,579.7,,591.5,601.5,445.1,,1118.8,1132.5,616.4,,87.8,87.8,49.3,,N
01/20/2026,13,,6033.6,6257.1,5001.7,,2725.3,2916.3,2732.2,,867.7,867.7,657.0,,533.2,543.5,390.1,,1790.0,1812.2,1159.4,,117.4,117.4,63.0,,N
01/20/2026,14,,7508.9,7764.8,6335.7,,3014.0,3218.7,3029.1,,1018.7,1018.7,801.0,,511.1,522.7,361.6,,2792.5,2832.1,2054.7,,172.6,172.6,89.3,,N
01/20/2026,15,,9312.7,9569.7,7988.8,,3298.0,3472.8,3272.4,,1213.9,1213.9,982.2,,537.7,548.3,376.8,,3994.7,4066.3,3199.3,,268.4,268.4,158.1,,N
01/20/2026,16,,11346.3,11651.3,9998.1,,3468.5,3652.2,3446.9,,1468.4,1468.4,1230.0,,611.3,622.4,444.5,,5398.0,5508.2,4606.6,,400.1,400.1,270.1,,N
01/20/2026,17,,13294.5,13649.4,11947.1,,3526.5,3711.1,3501.3,,1564.9,1564.9,1320.7,,733.3,744.7,560.7,,6907.9,7066.8,6139.1,,561.9,561.9,425.3,,N
01/20/2026,18,,15020.7,15431.3,13700.3,,3524.4,3707.6,3494.3,,1469.9,1469.9,1221.8,,886.3,899.7,711.6,,8370.8,8584.8,7642.4,,769.3,769.3,630.2,,N
01/20/2026,19,,17265.6,17771.6,16013.7,,3664.4,3847.6,3630.8,,1395.9,1395.9,1144.0,,1085.3,1099.3,909.5,,10075.2,10384.0,9426.3,,1044.8,1044.8,903.1,,N
01/20/2026,20,,19980.3,20554.2,18712.0,,3808.0,3987.6,3760.7,,1443.4,1443.4,1179.3,,1304.7,1316.9,1116.5,,12032.4,12414.5,11411.8,,1391.8,1391.8,1243.7,,N
01/20/2026,21,,20485.2,21047.0,21047.0,,3677.5,3838.4,3838.4,,1243.4,1243.4,1243.4,,1256.9,1263.0,1263.0,,12665.7,13060.5,13060.5,,1641.7,1641.7,1641.7,,N
