DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
09/03/2026,1,22113.88,21576.8,22678.8,21562.6,3229.91,3181.1,3474.2,3336.9,2865.37,2957.5,2915.1,2754.2,2850.15,2824.1,2907.5,2785.5,11705.68,11125.2,11921.3,11311.0,1462.77,1488.9,1460.7,1375.0,22675.06,N
09/03/2026,2,22047.61,21119.2,22792.7,21678.8,3257.94,3164.0,3481.8,3344.6,2699.51,2656.4,2768.9,2608.8,2535.05,2773.5,2639.4,2518.2,12220.99,11167.4,12544.6,11935.8,1334.12,1357.9,1358.0,1271.4,22838.12,N
09/03/2026,3,20337.84,19278.9,20051.3,20051.3,3204.49,2984.8,3339.8,3339.8,2387.04,2174.9,2287.1,2287.1,2318.27,2452.9,2238.1,2238.1,11245.58,10417.3,11079.8,11079.8,1182.46,1249.0,1106.5,1106.5,21318.88,N
09/03/2026,4,18469.85,18295.1,18177.6,18177.6,3075.65,2840.9,3157.6,3157.6,1928.83,1894.4,1864.1,1864.1,2088.59,2183.0,1984.6,1984.6,10121.22,10204.1,10036.5,10036.5,1255.56,1172.7,1134.8,1134.8,19439.66,N
09/03/2026,5,16413.01,16406.8,16160.2,16160.2,2966.67,2693.1,3054.1,3054.1,1602.31,1577.6,1464.4,1464.4,1912.12,2037.6,1846.7,1846.7,8667.37,8978.7,8579.5,8579.5,1264.54,1119.8,1215.5,1215.5,17387.14,N
09/03/2026,6,14664.69,14558.8,14353.9,14353.9,2751.0,2494.3,2820.9,2820.9,1292.25,1325.1,1246.8,1246.8,1748.94,1771.6,1626.5,1626.5,7808.27,7861.6,7661.8,7661.8,1064.23,1106.2,997.9,997.9,15556.78,N
09/03/2026,7,13630.0,12884.9,13199.7,13199.7,2529.79,2342.0,2670.9,2670.9,1023.44,1080.0,927.8,927.8,1723.02,1578.0,1578.8,1578.8,7385.47,6761.7,7130.6,7130.6,968.28,1123.2,891.6,891.6,14343.13,N
09/03/2026,8,12990.01,11395.6,12517.8,12517.8,2275.47,2098.9,2394.7,2394.7,1009.34,881.7,864.8,864.8,1553.61,1368.8,1475.7,1475.7,7265.64,6133.1,6972.5,6972.5,885.95,913.1,810.1,810.1,13760.39,N
09/03/2026,9,10519.1,9529.3,10266.2,10266.2,1828.62,1644.4,2024.7,2024.7,954.94,785.6,776.6,776.6,1222.66,1075.1,1071.8,1071.8,5691.04,5231.1,5632.6,5632.6,821.84,793.1,760.5,760.5,11550.98,N
09/03/2026,10,9909.82,8791.4,9419.2,9419.2,1393.56,1419.2,1383.7,1383.7,1894.26,1118.1,1764.2,1764.2,1416.15,1200.3,1328.0,1328.0,4296.25,4413.2,4145.5,4145.5,909.6,640.6,797.8,797.8,10318.1,N
09/03/2026,11,9751.63,8174.3,9334.0,9334.0,1590.71,1403.5,1665.0,1665.0,1940.02,1153.3,1856.8,1856.8,1232.95,933.6,1146.2,1146.2,3987.09,4045.9,3746.5,3746.5,1000.86,638.0,919.5,919.5,10391.17,N
09/03/2026,12,7563.03,6725.6,7361.6,7361.6,1394.68,1058.6,1473.1,1473.1,1563.46,1536.9,1562.4,1562.4,915.41,833.6,849.0,849.0,2842.49,2625.0,2697.9,2697.9,846.99,671.5,779.2,779.2,8384.75,N
09/03/2026,13,5017.74,5677.3,4893.3,4893.3,942.45,995.4,1003.8,1003.8,1313.49,1667.0,1304.2,1304.2,677.95,660.2,640.9,640.9,1340.51,1742.2,1224.8,1224.8,743.34,612.5,719.6,719.6,5678.83,N
09/03/2026,14,3649.23,4823.9,3199.4,3199.4,503.4,909.8,497.9,497.9,1488.43,1855.1,1343.7,1343.7,476.8,592.2,393.5,393.5,586.8,868.9,366.8,366.8,593.8,597.9,597.5,597.5,3902.12,N
09/03/2026,15,3958.43,4771.7,3476.2,3476.2,339.94,712.3,287.0,287.0,2350.56,2298.6,2264.3,2264.3,360.83,649.6,292.9,292.9,451.75,484.2,224.5,224.5,455.35,627.0,407.5,407.5,4102.65,N
09/03/2026,16,4806.49,5608.3,5433.8,4725.5,568.51,618.8,632.1,526.6,2819.18,2842.2,3300.7,3163.8,515.47,701.7,529.6,428.3,426.19,754.0,494.5,205.1,477.14,691.6,476.9,401.7,5287.67,N
09/03/2026,17,6870.9,6499.3,7654.1,6871.7,1105.66,684.1,1224.4,1112.9,3170.92,3451.4,3945.1,3810.5,874.08,865.0,830.6,730.0,741.95,931.1,810.9,453.3,978.29,567.7,843.1,765.0,7524.21,N
09/03/2026,18,8834.27,8133.7,9748.3,8879.6,1446.77,970.9,1537.1,1425.1,3336.51,3796.9,4089.9,3953.4,1576.47,1305.1,1549.2,1446.1,1170.69,1283.5,1244.1,806.8,1303.83,777.3,1328.0,1248.2,9654.39,N
09/03/2026,19,10874.52,10827.6,11610.5,10663.5,1113.22,1389.2,1368.8,1252.4,3488.14,3906.2,4184.5,4042.9,2362.12,1941.1,2250.3,2143.7,2412.39,2323.4,2337.3,1838.3,1498.65,1267.7,1469.6,1386.2,11474.68,N
09/03/2026,20,14955.56,13738.8,15384.0,14317.0,1711.79,1527.5,1798.2,1666.4,3704.7,3709.7,4084.3,3929.3,2892.17,2641.5,2970.0,2853.1,4803.4,4123.6,4684.1,4112.0,1843.5,1736.5,1847.4,1756.2,15136.28,N
09/03/2026,21,17320.91,17007.0,18049.0,16921.4,2126.14,1781.9,2339.9,2203.4,3282.78,3578.1,3773.7,3612.8,3004.46,2925.8,3050.6,2929.5,7055.15,6788.9,7029.5,6415.1,1852.38,1932.3,1855.3,1760.6,17890.51,N
