DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
12/19/2025,1,11038.9,11565.4,12259.9,11277.9,2338.66,2043.4,2468.8,2318.6,3281.87,3204.6,3795.1,3615.8,2473.1,2849.7,2740.7,2604.9,2488.95,2778.0,2735.6,2312.7,456.32,689.7,519.7,425.9,12369.45,N
12/19/2025,2,11772.32,11905.7,13521.3,12482.1,2579.74,2517.9,3314.8,3162.9,3168.48,3482.0,3709.3,3534.7,2342.87,2576.8,2679.4,2548.1,3502.44,2857.6,3626.5,3107.0,178.79,471.4,191.3,129.4,13578.53,N
12/19/2025,3,13372.22,12855.3,15060.6,13987.6,2583.85,3173.3,3712.6,3566.5,3214.4,3375.2,3439.9,3271.9,2166.23,2220.5,2365.8,2238.2,5232.09,3785.8,5360.8,4766.3,175.65,300.5,181.5,144.7,15071.83,N
12/19/2025,4,14843.39,14123.4,16572.5,15455.6,2696.35,3715.9,3940.4,3795.9,2873.72,3054.3,3018.5,2854.8,2206.65,2032.3,2235.7,2119.0,6895.38,5135.7,7191.3,6554.4,171.29,185.2,186.6,131.5,16565.2,N
12/19/2025,5,15630.89,15963.0,17133.5,16013.7,2730.1,3883.2,4029.8,3890.8,2018.97,2799.4,2103.7,1945.5,2209.12,1844.6,2161.6,2048.5,8443.99,7194.9,8619.2,7976.4,228.71,240.9,219.2,152.5,17223.67,N
12/19/2025,6,17912.96,17516.2,19421.1,18296.6,2733.65,3905.0,4013.9,3878.3,1656.59,2255.8,1642.3,1488.4,2029.53,1753.8,2021.4,1903.9,11171.39,9259.8,11423.9,10784.9,321.8,341.8,319.6,241.1,19404.22,N
12/19/2025,7,19596.15,18581.5,21101.2,19982.3,2749.09,3897.8,4020.4,3888.3,1399.2,1562.8,1427.1,1276.3,1618.78,1557.4,1644.6,1528.8,13285.9,11028.8,13482.1,12850.9,543.18,534.7,527.0,438.0,21160.68,N
12/19/2025,8,22120.33,21071.4,23690.3,22585.5,2723.64,3834.3,4027.3,3896.6,1223.83,1342.1,1237.9,1089.6,1459.03,1369.3,1428.5,1312.9,15806.49,13721.9,16115.6,15494.4,907.34,803.8,881.0,792.0,23590.15,N
12/19/2025,9,21465.73,21016.1,24170.2,24170.2,2136.84,3654.1,3873.3,3873.3,875.11,828.4,785.6,785.6,1320.69,860.4,1236.5,1236.5,15899.46,14629.9,17121.0,17121.0,1233.63,1043.3,1153.8,1153.8,25345.7,N
12/19/2025,10,18637.02,21705.5,22353.1,22353.1,1614.5,3539.6,3544.3,3544.3,356.27,468.6,230.9,230.9,904.75,615.9,780.6,780.6,14476.03,15812.2,16606.9,16606.9,1285.47,1269.2,1190.4,1190.4,23776.38,N
12/19/2025,11,18798.73,21407.3,22574.3,22574.3,1592.93,3388.7,3493.5,3493.5,500.27,267.1,309.4,309.4,826.34,542.3,731.5,731.5,14361.47,15921.4,16583.5,16583.5,1517.72,1287.8,1456.4,1456.4,23800.3,N
12/19/2025,12,19036.47,21692.5,23318.5,23318.5,1561.4,3209.3,3357.1,3357.1,561.42,166.5,445.6,445.6,620.01,477.6,544.3,544.3,14870.39,16324.2,17264.0,17264.0,1423.25,1514.9,1707.5,1707.5,24448.17,N
12/19/2025,13,18466.09,22227.9,23286.1,23286.1,1486.97,3149.3,3216.7,3216.7,351.24,295.7,250.6,250.6,483.44,528.8,422.1,422.1,14891.04,16354.2,17559.4,17559.4,1253.4,1899.9,1837.3,1837.3,24472.72,N
12/19/2025,14,17995.26,22363.6,22945.5,22945.5,1373.42,3108.1,2999.0,2999.0,192.86,328.2,104.8,104.8,419.33,450.6,377.0,377.0,14764.84,16411.1,17431.9,17431.9,1244.81,2065.6,2032.8,2032.8,24198.49,N
12/19/2025,15,17808.4,22241.4,23046.7,23046.7,1384.39,2976.2,2978.2,2978.2,191.26,308.2,116.4,116.4,389.04,390.4,354.2,354.2,14577.65,16436.2,17409.8,17409.8,1266.06,2130.4,2188.1,2188.1,24292.77,N
12/19/2025,16,17820.08,21838.2,23322.7,23322.7,1338.17,2831.8,2955.2,2955.2,306.75,285.1,208.5,208.5,437.16,403.6,372.7,372.7,14434.02,16101.0,17584.6,17584.6,1303.98,2216.7,2201.7,2201.7,24479.56,N
12/19/2025,17,18908.35,21901.8,23189.2,23189.2,1305.5,2855.2,2998.9,2998.9,473.87,387.2,374.6,374.6,638.92,564.5,549.8,549.8,14755.82,15846.1,17077.6,17077.6,1734.24,2248.8,2188.3,2188.3,24287.25,N
12/19/2025,18,21762.33,24222.0,25128.5,24049.7,1758.15,3153.1,3454.1,3325.7,558.87,696.7,579.4,434.3,995.52,1041.2,1000.2,884.1,16129.61,16907.7,17594.9,16991.7,2320.18,2423.3,2499.9,2413.9,24993.83,N
12/19/2025,19,23742.76,26106.1,27776.1,26699.2,1607.28,3459.6,3798.9,3670.9,676.66,815.2,684.9,540.0,1725.09,1597.9,1644.6,1528.1,17256.39,17674.6,18848.4,18246.9,2477.34,2558.8,2799.3,2713.3,27622.62,N
12/19/2025,20,24808.66,27250.6,29166.1,28076.8,1663.13,3695.8,3726.8,3599.2,774.62,852.7,774.7,626.8,2462.69,2070.1,2425.5,2307.6,17416.61,17940.8,19375.6,18766.5,2491.61,2691.2,2863.5,2776.7,29173.47,N
12/19/2025,21,25375.56,28580.1,29804.1,28705.7,1809.25,3902.8,3889.8,3761.7,828.7,996.4,817.1,665.3,2802.7,2439.0,2760.8,2642.5,17510.72,18454.4,19463.9,18851.0,2424.19,2787.5,2872.5,2785.2,29797.54,N
12/19/2025,22,26036.78,29058.5,30280.5,29181.2,1855.02,3916.4,3870.8,3742.9,1316.19,1086.3,1258.8,1104.7,2962.33,2719.6,2938.0,2820.0,17481.85,18533.6,19356.0,18743.6,2421.39,2802.6,2856.9,2770.0,30324.81,N
12/19/2025,23,25972.59,29581.0,30546.2,29445.2,1909.88,4046.8,4009.9,3881.7,1394.37,1338.8,1407.1,1253.3,3112.27,2873.0,3163.3,3044.8,17146.28,18529.0,19116.2,18502.9,2409.79,2793.4,2849.7,2762.5,30605.65,N
12/19/2025,24,25764.02,29899.8,30625.5,29525.5,1811.48,3985.4,3993.6,3865.5,1544.4,1776.4,1487.9,1333.1,3090.96,2934.1,3276.0,3157.7,16909.38,18426.2,19022.2,18410.7,2407.8,2777.7,2845.8,2758.5,30686.57,N
12/20/2025,1,,29675.1,30708.7,29608.2,,3944.1,3991.1,3863.5,,1754.2,1806.9,1650.7,,3050.8,3320.8,3202.9,,18116.1,18747.3,18135.2,,2809.9,2842.6,2755.9,,N
12/20/2025,2,,29506.7,30442.8,29340.8,,3889.5,3959.2,3831.9,,1773.7,1932.4,1776.3,,3044.9,3152.5,3034.3,,17975.8,18555.3,17942.0,,2822.8,2843.4,2756.3,,N
12/20/2025,3,,29497.3,30199.8,29092.9,,3920.6,3970.6,3841.9,,1988.7,1988.7,1831.7,,3014.7,3014.7,2896.8,,17735.8,18369.6,17753.9,,2837.5,2856.2,2768.6,,N
12/20/2025,4,,28919.5,29597.6,28487.3,,3931.7,3981.7,3852.8,,1894.2,1894.2,1737.1,,2866.3,2866.3,2747.2,,17389.4,18002.7,17384.9,,2837.9,2852.7,2765.3,,N
12/20/2025,5,,28118.6,28761.7,27649.1,,3921.4,3971.4,3842.2,,1757.0,1757.0,1599.7,,2711.6,2711.6,2592.6,,16901.5,17490.3,16871.0,,2827.1,2831.4,2743.6,,N
12/20/2025,6,,27404.9,28029.9,26915.3,,3886.9,3936.9,3807.9,,1690.2,1690.2,1532.6,,2614.5,2614.5,2495.7,,16409.5,16981.2,16360.4,,2803.8,2807.1,2718.7,,N
12/20/2025,7,,26662.9,27294.3,26164.5,,3836.5,3886.5,3755.7,,1621.5,1621.5,1461.5,,2513.5,2513.5,2393.2,,15906.9,16485.8,15856.7,,2784.5,2787.0,2697.4,,N
12/20/2025,8,,25752.2,26385.4,25202.5,,3761.3,3811.3,3674.6,,1544.1,1544.1,1376.5,,2350.5,2350.5,2224.2,,15335.2,15917.6,15258.9,,2761.1,2761.9,2668.3,,N
12/20/2025,9,,22967.0,23535.4,23535.4,,3442.1,3492.1,3492.1,,1270.1,1270.1,1270.1,,1906.0,1906.0,1906.0,,13737.5,14255.1,14255.1,,2611.3,2612.1,2612.1,,N
12/20/2025,10,,20380.0,20902.4,20902.4,,2994.0,3044.0,3044.0,,1169.6,1169.8,1169.8,,1614.2,1614.2,1614.2,,12135.8,12600.3,12600.3,,2466.4,2474.1,2474.1,,N
12/20/2025,11,,17980.5,18466.0,18466.0,,2392.5,2442.5,2442.5,,1503.4,1508.7,1508.7,,1396.1,1396.1,1396.1,,10451.5,10871.7,10871.7,,2237.0,2247.0,2247.0,,N
12/20/2025,12,,16723.4,17167.3,17167.3,,1914.6,1964.6,1964.6,,2061.1,2061.1,2061.1,,1214.2,1214.2,1214.2,,9548.6,9933.0,9933.0,,1984.9,1994.4,1994.4,,N
12/20/2025,13,,16221.5,16674.7,16674.7,,1670.7,1713.8,1713.8,,2241.1,2241.1,2241.1,,1098.2,1098.2,1098.2,,9441.2,9844.4,9844.4,,1770.3,1777.2,1777.2,,N
12/20/2025,14,,15406.2,15882.3,15882.3,,1418.0,1444.4,1444.4,,2173.7,2173.7,2173.7,,885.8,885.8,885.8,,9356.5,9806.2,9806.2,,1572.2,1572.2,1572.2,,N
12/20/2025,15,,14713.1,15218.4,15218.4,,1270.1,1292.5,1292.5,,2086.3,2086.3,2086.3,,696.1,696.9,696.9,,9278.5,9760.6,9760.6,,1382.1,1382.1,1382.1,,N
12/20/2025,16,,14199.7,14712.7,14712.7,,1252.9,1278.3,1278.3,,2102.1,2102.1,2102.1,,591.0,591.0,591.0,,9058.5,9546.1,9546.1,,1195.2,1195.2,1195.2,,N
12/20/2025,17,,13717.1,14196.7,14196.7,,1583.4,1627.3,1627.3,,2219.7,2220.5,2220.5,,611.3,612.2,612.2,,8269.2,8703.2,8703.2,,1033.5,1033.5,1033.5,,N
12/20/2025,18,,14229.2,14743.9,14743.9,,2075.0,2220.8,2220.8,,2414.7,2415.7,2415.7,,785.8,785.8,785.8,,7917.8,8285.7,8285.7,,1035.9,1035.9,1035.9,,N
12/20/2025,19,,16123.1,16591.8,16591.8,,2528.6,2686.7,2686.7,,2624.4,2626.5,2626.5,,1114.4,1114.4,1114.4,,8629.8,8938.3,8938.3,,1225.9,1225.9,1225.9,,N
12/20/2025,20,,18051.9,18495.9,18495.9,,2712.4,2866.3,2866.3,,2697.5,2699.6,2699.6,,1453.8,1469.8,1469.8,,9727.2,9989.7,9989.7,,1461.0,1470.5,1470.5,,N
12/20/2025,21,,19717.9,20123.9,20123.9,,2666.9,2812.3,2812.3,,2726.8,2728.0,2728.0,,1741.8,1767.0,1767.0,,10889.9,11123.0,11123.0,,1692.5,1693.6,1693.6,,N
12/20/2025,22,,20530.1,20940.8,20940.8,,2493.7,2587.5,2587.5,,2729.5,2733.1,2733.1,,2014.4,2040.9,2040.9,,11466.1,11740.8,11740.8,,1826.4,1838.5,1838.5,,N
