DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
06/02/2026,1,15056.01,16181.5,15663.1,14627.1,3508.82,3566.2,3764.6,3636.7,606.87,521.8,651.3,510.7,1271.4,1439.5,1241.1,1129.0,8630.52,9648.3,8973.8,8402.4,1038.4,1005.7,1032.3,948.3,15796.72,N
06/02/2026,2,14435.17,15038.7,15068.3,14047.1,3428.6,3488.8,3732.5,3605.3,368.33,440.0,386.6,256.0,1362.3,1065.7,1313.9,1202.0,8313.61,9053.1,8648.3,8080.2,962.33,991.1,987.0,903.6,15218.29,N
06/02/2026,3,13196.34,13766.9,13892.1,12889.3,3073.92,3291.7,3344.7,3216.3,331.02,347.7,336.0,228.1,1386.62,925.4,1357.9,1249.4,7549.31,8245.6,8000.6,7426.9,855.47,956.5,852.9,768.6,14024.93,N
06/02/2026,4,11457.79,12654.9,12230.5,11276.2,2318.81,2937.1,2706.1,2586.6,326.63,208.8,344.3,220.2,1091.92,860.7,1096.0,994.8,6857.71,7798.7,7224.0,6692.3,862.72,849.6,860.1,782.3,12359.51,N
06/02/2026,5,10180.76,11080.7,10761.3,9847.1,1977.0,2553.6,2201.0,2083.3,217.93,191.4,241.9,134.9,773.82,739.8,817.9,730.1,6405.59,6837.8,6668.5,6144.1,806.42,758.1,832.0,754.7,10913.21,N
06/02/2026,6,9496.46,9431.2,10143.5,9250.2,1816.82,1921.9,2034.2,1919.3,126.61,184.8,146.5,63.0,626.13,593.1,622.1,536.8,6307.57,6100.2,6669.9,6138.0,619.33,631.2,670.8,593.1,10242.22,N
06/02/2026,7,8279.63,8112.1,8806.7,7958.3,1808.49,1531.5,1859.0,1740.4,56.36,127.6,75.2,24.5,461.74,440.2,509.9,426.6,5598.02,5475.4,5987.7,5464.7,355.02,537.4,374.9,302.1,8966.82,N
06/02/2026,8,7064.21,6897.7,7572.7,6765.1,1899.46,1204.1,2004.3,1885.6,10.24,75.6,22.5,6.2,300.93,372.2,317.5,233.4,4570.83,4867.1,4949.5,4420.7,282.75,378.7,278.9,219.2,7854.85,N
06/02/2026,9,6082.45,4854.3,6098.5,5338.8,1615.68,857.1,1613.7,1494.5,0.01,42.8,8.4,1.6,165.97,267.5,174.7,105.0,4144.67,3534.9,4123.3,3612.8,156.12,152.0,178.4,124.9,6465.16,N
06/02/2026,10,6214.07,4464.6,6821.3,6037.7,1555.67,860.5,1671.6,1550.0,0.05,35.5,15.5,5.3,160.42,246.6,187.7,103.6,4399.14,3211.5,4851.5,4333.1,98.79,110.5,95.0,45.7,6917.71,N
06/02/2026,11,4681.04,4104.2,5133.1,4394.4,1375.98,824.3,1519.4,1390.7,6.41,42.1,12.4,2.2,97.4,170.9,97.7,30.7,3113.13,2965.5,3419.3,2933.4,88.12,101.4,84.3,37.4,5371.67,N
06/02/2026,12,3698.55,3963.7,3959.7,3230.5,962.32,1018.8,1032.6,900.3,125.82,74.6,92.7,50.0,160.88,206.5,167.4,87.8,2398.39,2584.1,2609.5,2165.5,51.14,79.7,57.5,26.9,4072.42,N
06/02/2026,13,4088.22,3702.6,4219.0,3490.8,1167.25,1150.6,1205.5,1096.9,377.46,182.7,385.4,304.9,146.55,141.6,149.2,73.5,2317.47,2129.9,2401.5,1975.1,79.49,97.8,77.4,40.4,4200.8,N
06/02/2026,14,6099.24,4436.4,6026.4,5268.2,1653.53,1177.8,1646.6,1548.1,630.23,468.6,619.3,519.1,230.2,211.2,228.8,151.4,3394.56,2462.0,3357.4,2926.6,190.72,116.8,174.3,123.0,5956.9,N
06/02/2026,15,9140.92,6062.4,8948.9,8094.1,2450.12,1643.6,2378.2,2270.9,1048.72,743.3,1008.7,896.6,483.44,351.3,502.5,410.0,4803.21,3127.4,4770.4,4294.7,355.43,196.8,289.1,221.9,8888.44,N
06/02/2026,16,10942.11,8378.2,11296.0,10364.4,2567.36,1932.7,2946.3,2830.8,1008.89,889.3,1079.9,952.5,813.03,684.7,717.0,616.2,6001.59,4537.6,5995.6,5480.1,551.24,333.9,557.2,484.8,11297.46,N
06/02/2026,17,12943.16,11080.4,13199.1,12218.6,2646.57,2372.4,2859.3,2737.8,950.83,1164.2,923.3,786.2,1411.48,851.7,1384.9,1278.2,7274.72,6090.5,7389.4,6850.2,659.56,601.6,642.2,566.2,13098.45,N
06/02/2026,18,13861.5,12872.5,14293.1,13281.4,2368.62,2578.6,2488.9,2364.1,1164.14,1008.4,1173.8,1032.8,1593.51,1274.4,1671.1,1561.7,7888.58,7309.5,8196.7,7641.8,846.65,701.6,762.6,681.0,14280.45,N
06/02/2026,19,13402.1,14457.9,14059.1,13049.5,1983.58,2442.9,2291.2,2165.3,982.41,1034.1,1042.7,907.5,1315.41,1719.6,1295.6,1189.4,7985.7,8466.0,8326.8,7766.9,1135.0,795.3,1102.8,1020.4,14100.72,N
06/02/2026,20,14005.02,14769.5,14425.1,13412.9,1282.66,2143.3,1574.2,1448.8,733.06,944.2,740.0,602.5,1362.12,1703.5,1368.3,1261.8,9030.63,9068.6,9104.5,8543.9,1596.55,909.9,1638.1,1555.9,14501.41,N
06/02/2026,21,13182.36,13822.5,13757.5,12758.7,1119.89,1882.5,1220.0,1097.6,615.62,602.9,624.1,485.2,1272.22,1370.6,1277.1,1169.0,8601.78,8819.0,9166.9,8617.8,1572.85,1147.5,1469.4,1389.1,13972.64,N
06/02/2026,22,14472.61,14000.2,14660.6,13643.8,1561.18,1742.4,1553.6,1430.3,557.46,450.5,604.4,463.6,1435.89,1415.8,1367.9,1257.7,9260.81,9013.1,9447.2,8886.7,1657.27,1378.4,1687.5,1605.5,14626.39,N
06/02/2026,23,15557.69,12886.2,16131.3,15069.3,2161.32,1442.6,2395.9,2269.5,484.35,394.0,505.4,358.5,1673.5,1195.9,1604.7,1488.9,9839.35,8604.1,10208.9,9620.8,1399.17,1249.6,1416.4,1331.6,16188.65,N
