DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
04/08/2026,1,13104.57,13646.4,13837.0,12829.0,3202.45,3128.0,3507.8,3382.1,1014.23,904.9,1001.2,859.2,1608.59,1567.3,1647.5,1541.7,6227.97,6861.4,6604.9,6052.7,1051.33,1184.8,1075.6,993.3,13732.08,N
04/08/2026,2,12421.19,12926.7,13012.3,12018.9,3285.24,3128.5,3565.9,3441.3,941.08,769.1,898.4,758.1,1471.1,1398.2,1548.5,1442.0,5766.1,6506.8,6030.6,5489.8,957.67,1124.1,968.9,887.7,13031.7,N
04/08/2026,3,11544.6,12206.9,12331.7,11357.8,3206.26,3202.9,3576.1,3455.0,920.8,811.8,1063.5,923.9,1188.69,1333.2,1248.0,1144.6,5320.94,5787.5,5544.8,5014.1,907.91,1071.5,899.3,820.2,12306.59,N
04/08/2026,4,10569.07,11623.5,11138.3,10210.9,2985.68,3251.7,3295.9,3177.0,311.39,652.0,363.2,251.3,886.1,1090.1,921.3,820.5,5519.01,5642.2,5656.9,5138.1,866.89,987.5,901.0,824.0,11203.43,N
04/08/2026,5,10465.74,11133.3,11124.5,10199.4,2934.55,3203.3,3239.2,3115.2,180.19,694.8,221.1,130.5,652.53,921.2,683.0,584.5,6041.62,5452.4,6293.2,5759.2,656.85,861.6,688.0,610.0,11067.64,N
04/08/2026,6,10654.69,10645.9,11139.0,10213.4,3084.43,3052.8,3328.8,3199.2,82.45,290.3,91.3,31.6,588.25,742.6,602.2,516.2,6346.34,5745.4,6546.1,5976.9,553.22,814.8,570.6,489.5,11123.81,N
04/08/2026,7,10891.74,10767.2,11439.2,10502.4,3072.71,3000.1,3426.2,3295.7,141.95,224.6,145.2,83.4,657.2,607.1,652.2,557.7,6505.76,6234.1,6690.9,6124.6,514.12,701.3,524.7,441.0,11469.46,N
04/08/2026,8,11734.74,10499.2,12265.3,11294.7,3157.83,3089.4,3452.3,3321.2,288.33,167.5,274.3,186.3,787.94,609.7,761.2,650.2,6954.24,5987.4,7216.4,6652.2,546.4,645.2,561.1,484.8,12200.16,N
04/08/2026,9,10661.69,10182.8,11759.7,10807.7,2643.88,2867.9,3080.7,2958.1,385.76,235.8,419.0,293.5,716.52,595.9,770.6,665.8,6437.17,5977.0,6989.3,6461.2,478.36,506.2,500.1,429.1,11871.59,N
04/08/2026,10,9285.78,10036.8,11269.9,10336.5,1968.71,2638.7,3049.6,2927.3,311.39,433.2,343.5,224.9,523.55,607.2,511.5,407.3,6132.45,5892.5,6959.0,6434.0,349.68,465.2,406.3,343.0,11263.97,N
