DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
07/25/2026,1,20169.3,21495.3,21118.7,19978.4,2146.04,2605.2,2388.5,2250.4,1892.46,1820.7,1932.7,1770.3,2630.25,2589.6,2604.6,2483.4,11368.58,12332.1,12029.2,11410.1,2131.97,2147.7,2163.7,2064.2,20964.12,N
07/25/2026,2,18873.93,20550.5,19767.0,18634.9,1971.19,2380.9,2232.6,2095.3,1754.54,1675.4,1774.2,1612.9,2629.34,2449.2,2629.1,2508.6,10530.46,11836.4,11084.0,10469.4,1988.4,2208.6,2047.1,1948.7,19787.3,N
07/25/2026,3,18072.67,19622.0,18923.4,17797.1,2004.21,2271.0,2244.3,2107.5,1547.61,1527.4,1596.4,1435.5,2453.57,2278.2,2530.6,2410.5,10153.49,11372.4,10643.1,10032.6,1913.79,2173.0,1909.0,1811.0,18880.37,N
07/25/2026,4,16818.28,18177.6,17527.5,16393.8,1983.41,1988.3,2127.6,1989.9,1208.4,1308.0,1259.9,1097.8,1931.82,2080.7,1960.2,1839.8,9807.33,10762.9,10232.6,9617.8,1887.32,2037.7,1947.2,1848.5,17540.79,N
07/25/2026,5,15764.01,17217.4,16419.8,15328.4,2191.94,2049.4,2327.4,2194.7,918.34,1078.0,950.0,794.2,1672.19,1866.2,1710.7,1595.9,9344.68,10327.7,9765.2,9171.8,1636.86,1896.1,1666.5,1571.8,16431.67,N
07/25/2026,6,15499.62,16744.4,16053.5,14975.8,2332.48,2252.0,2475.8,2344.8,853.81,828.1,874.5,720.9,1555.19,1621.0,1564.4,1451.5,9171.42,10187.9,9529.8,8943.5,1586.72,1855.4,1609.0,1515.1,16006.19,N
07/25/2026,7,16407.96,15894.3,16959.1,15844.6,2524.76,2320.6,2830.2,2694.8,883.68,657.9,900.5,741.8,1426.74,1481.0,1442.2,1324.1,9954.77,9794.1,10148.1,9542.4,1618.01,1640.7,1638.1,1541.5,16902.72,N
07/25/2026,8,15676.07,14888.7,16529.8,15432.6,2190.85,2201.7,2516.6,2383.4,797.49,610.2,820.6,664.4,1252.0,1306.5,1274.5,1158.1,9856.95,9211.8,10301.9,9706.1,1578.78,1558.5,1616.2,1520.6,16595.44,N
07/25/2026,9,14699.4,15173.4,14971.2,13929.7,1788.38,2220.4,1982.2,1855.2,581.21,678.9,583.1,438.1,1129.74,1242.9,1140.0,1028.7,9820.61,9567.4,9882.9,9315.5,1379.46,1463.8,1383.0,1292.2,15156.84,N
07/25/2026,10,16087.74,15445.8,16654.6,15553.4,1844.3,2117.0,2058.1,1923.5,755.64,804.7,817.2,659.8,1280.36,1229.9,1297.1,1182.0,10928.03,9916.9,11201.8,10602.0,1279.41,1377.3,1280.4,1186.1,16690.92,N
07/25/2026,11,15459.02,13866.5,16253.5,15165.3,1635.15,1582.8,1890.4,1757.1,611.57,809.1,659.5,505.4,1188.02,1151.8,1214.2,1097.2,10811.42,9145.2,11266.6,10674.0,1212.86,1177.6,1222.8,1131.6,16513.76,N
07/25/2026,12,14245.26,13233.8,15365.7,14307.8,1208.8,1337.2,1478.7,1349.7,673.69,985.5,673.7,523.0,1061.49,1132.2,1075.9,962.8,10269.31,8810.2,11051.3,10474.9,1031.97,968.7,1086.1,997.4,15592.74,N
07/25/2026,13,12505.71,12060.2,13283.1,12288.4,897.3,1135.9,1045.8,924.7,998.02,957.6,970.7,827.8,1037.1,993.1,1034.0,927.2,8743.21,8109.2,9386.7,8843.5,830.08,864.4,845.9,765.2,13627.85,N
07/25/2026,14,11538.28,11456.9,12251.1,11297.9,784.61,1016.0,865.9,749.9,1694.26,1324.2,1655.6,1519.0,1022.1,933.4,1030.0,927.8,7320.78,7429.1,7966.0,7444.6,716.53,754.2,733.6,656.6,12320.7,N
07/25/2026,15,11172.18,11066.8,11732.8,10798.1,947.73,901.9,1037.5,923.0,2158.1,1881.7,2160.9,2026.8,1065.67,1018.9,1069.3,969.2,6392.39,6603.9,6836.2,6325.8,608.29,660.4,628.9,553.3,11769.02,N
07/25/2026,16,11274.3,11500.3,11947.4,11006.6,1090.03,958.1,1198.3,1083.4,2492.31,2401.7,2611.7,2476.8,1063.23,1154.5,1069.2,968.6,6053.63,6362.3,6484.5,5970.5,575.1,623.7,583.7,507.3,11902.7,N
07/25/2026,17,11698.81,12235.2,12488.1,11523.9,1279.94,1185.5,1457.1,1340.0,2622.44,2642.8,2760.4,2622.4,1152.91,1306.2,1172.9,1069.5,6046.97,6468.8,6492.3,5966.9,596.55,631.9,605.4,525.1,12336.57,N
07/25/2026,18,12158.21,12904.1,12820.4,11839.1,1383.89,1291.0,1534.4,1414.6,2653.49,2674.7,2767.4,2627.5,1411.74,1425.4,1393.4,1288.5,6114.39,6844.6,6512.3,5977.6,594.7,668.4,612.9,530.9,12775.89,N
07/25/2026,19,13381.72,13748.8,13957.4,12943.3,1683.96,1516.7,1843.7,1720.1,2571.13,2527.8,2606.2,2461.1,1868.2,1680.7,1876.4,1768.3,6677.09,7257.8,7026.7,6474.0,581.34,765.8,604.4,519.8,13797.17,N
