DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,GEN_PANHANDLE,COP_HSL_PANHANDLE,STWPF_PANHANDLE,WGRPP_PANHANDLE,GEN_COASTAL,COP_HSL_COASTAL,STWPF_COASTAL,WGRPP_COASTAL,GEN_SOUTH,COP_HSL_SOUTH,STWPF_SOUTH,WGRPP_SOUTH,GEN_WEST,COP_HSL_WEST,STWPF_WEST,WGRPP_WEST,GEN_NORTH,COP_HSL_NORTH,STWPF_NORTH,WGRPP_NORTH,SYSTEM_WIDE_HSL,DSTFlag
09/23/2026,1,9222.92,8404.3,9478.4,8623.8,855.18,1217.6,979.6,888.7,600.76,715.0,649.2,522.3,1176.6,1276.0,1192.0,1096.5,5993.83,4574.2,6033.8,5565.6,596.55,621.5,623.8,550.7,9526.49,N
09/23/2026,2,9370.43,8161.1,9853.6,8986.8,983.85,1091.1,1107.6,1010.1,348.63,532.3,397.0,274.3,912.33,970.6,934.1,838.4,6636.71,4958.9,6900.7,6419.0,488.91,608.2,514.2,445.0,9877.9,N
09/23/2026,3,9299.62,8433.7,9633.3,8776.0,1099.09,955.5,1170.1,1071.1,214.67,306.7,225.8,132.1,703.29,782.1,733.3,642.9,6796.59,5752.5,7009.9,6505.3,485.98,636.9,494.2,424.6,9735.45,N
09/23/2026,4,8681.98,8499.2,9183.9,8336.3,1180.59,1012.7,1266.9,1162.0,130.63,168.5,145.6,64.9,547.39,593.1,592.3,510.2,6371.49,6186.9,6738.7,6218.2,451.88,538.0,440.4,381.0,9252.68,N
09/23/2026,5,7543.43,8087.1,8006.9,7204.5,1183.04,1043.5,1192.6,1092.1,54.87,97.2,62.4,11.3,312.16,448.2,338.4,262.2,5457.83,6038.4,5866.3,5362.2,535.53,459.8,547.2,476.7,8072.07,N
09/23/2026,6,6598.12,7176.4,6971.9,6207.5,1359.03,1091.3,1410.0,1313.1,31.54,58.8,44.1,6.4,302.96,354.7,293.8,227.3,4549.16,5298.6,4853.4,4357.8,355.43,373.0,370.6,302.9,7093.66,N
09/23/2026,7,6137.61,6005.8,6486.8,5738.4,1389.71,1038.1,1475.9,1373.1,8.04,49.5,11.5,0.0,304.6,215.4,315.8,243.2,4143.33,4358.5,4393.2,3885.9,291.93,344.3,290.4,236.2,6614.18,N
09/23/2026,8,5768.48,5344.0,6139.3,5403.8,1381.93,1144.8,1503.5,1400.5,22.44,74.7,28.7,9.2,273.53,237.0,288.2,219.2,3829.89,3640.5,4050.5,3557.1,260.69,247.0,268.4,217.8,6268.26,N
09/23/2026,9,4501.76,4607.1,5126.5,4411.5,1187.72,1040.5,1383.2,1275.4,47.62,71.1,59.0,24.4,207.66,225.1,242.1,172.8,2891.1,3089.8,3257.2,2785.8,167.66,180.6,185.0,153.1,5231.73,N
09/23/2026,10,3283.54,4227.1,3652.4,2941.5,1037.85,1064.1,1184.8,1070.7,104.07,149.7,102.2,48.1,131.6,232.1,139.7,72.0,1938.23,2648.4,2143.6,1686.0,71.79,132.8,82.1,64.7,3671.73,N
09/23/2026,11,4225.62,4660.9,4422.3,3709.7,1191.26,1133.5,1355.6,1249.4,329.79,391.6,337.6,235.0,229.48,309.0,240.6,154.5,2435.28,2714.1,2446.9,2042.1,39.81,112.7,41.6,28.7,4327.87,N
09/23/2026,12,6326.84,4937.7,6582.8,5831.2,1077.57,1152.9,1299.5,1192.2,906.6,756.7,850.7,718.5,373.69,329.3,375.6,273.6,3895.95,2627.7,3998.3,3616.1,73.03,71.1,58.7,30.8,6464.22,N
09/23/2026,13,8471.78,6583.6,8679.5,7847.7,1014.45,1241.5,1165.3,1055.1,1598.63,1205.2,1525.6,1388.9,525.16,444.6,526.4,421.0,5171.62,3627.3,5313.9,4886.1,161.92,65.0,148.3,96.6,8666.01,N
09/23/2026,14,10393.37,8524.9,10732.5,9830.5,1147.55,1167.5,1276.6,1164.2,2034.97,1653.7,2013.4,1880.1,752.32,636.7,797.6,696.6,6216.08,4960.9,6418.1,5932.2,242.45,106.1,226.8,157.4,10733.83,N
09/23/2026,15,11854.98,9805.4,12224.4,11270.2,1204.56,1130.3,1382.8,1267.3,2226.21,2099.2,2177.2,2039.0,954.53,794.9,977.1,871.9,7096.82,5581.6,7329.7,6813.5,372.86,199.4,357.6,278.5,12315.15,N
09/23/2026,16,13532.0,11379.7,13982.0,12959.4,1548.81,1248.6,1690.1,1567.7,2504.62,2339.6,2486.0,2335.8,1369.67,970.6,1396.5,1283.6,7658.72,6533.5,7964.0,7411.9,450.18,287.4,445.4,360.4,14007.16,N
09/23/2026,17,14214.03,12212.4,14815.9,13775.2,1794.16,1341.2,2059.1,1929.1,2720.63,2277.4,2745.6,2593.3,1643.43,1233.2,1555.5,1441.7,7551.72,6936.7,7937.1,7380.1,504.09,423.9,518.6,431.0,14909.29,N
09/23/2026,18,13798.19,13598.1,14554.1,13519.4,1897.11,1614.7,2136.8,2007.3,2562.61,2377.8,2571.9,2420.1,2089.83,1796.2,2017.1,1902.6,6658.08,7254.0,7211.3,6658.8,590.56,555.4,617.0,530.6,14565.93,N
09/23/2026,19,13299.69,14306.6,14148.8,13122.9,1977.84,1802.2,2289.3,2160.5,2472.57,2397.6,2490.1,2339.1,2358.43,1946.8,2396.5,2282.7,5844.64,7346.2,6363.1,5815.3,646.21,813.8,609.8,525.3,14069.7,N
