DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
04/17/2026,1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.52,N
04/17/2026,2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.59,N
04/17/2026,3,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.7,N
04/17/2026,4,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.73,N
04/17/2026,5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.69,N
04/17/2026,6,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.68,N
04/17/2026,7,2.25,1.1,1.8,1.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.84,1.1,1.8,1.8,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.79,N
04/17/2026,8,2032.24,1641.2,2056.4,2182.6,163.07,137.9,159.6,182.4,90.83,87.6,117.6,129.3,153.1,119.3,140.9,157.6,1174.87,986.6,1073.2,1112.9,165.23,108.6,156.5,164.1,285.14,201.2,408.6,436.3,1171.49,N
04/17/2026,9,12760.82,10576.0,14049.2,13475.0,1329.99,1095.5,1376.9,1257.5,687.93,847.2,804.5,788.2,2159.61,2023.0,2266.1,2308.3,5934.44,4515.0,6208.7,5900.5,1002.42,993.4,1387.8,1345.7,1646.43,1101.9,2005.2,1874.8,11490.12,N
04/17/2026,10,17619.89,18455.9,23008.6,21358.5,1640.65,1807.3,2458.2,2156.7,1215.27,1713.4,1454.0,1365.9,2783.54,4256.9,4502.5,4405.4,8198.69,6980.0,9304.2,8620.1,1676.0,1915.5,2031.8,1919.8,2105.74,1782.8,3257.9,2890.6,19932.33,N
