DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
05/22/2026,1,0.19,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,N
05/22/2026,2,0.19,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,N
05/22/2026,3,0.21,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,N
05/22/2026,4,0.22,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,N
05/22/2026,5,0.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,N
05/22/2026,6,0.25,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.7,N
05/22/2026,7,158.52,137.5,193.2,215.1,6.73,10.2,12.8,16.7,5.06,5.0,5.3,6.2,3.52,0.8,2.0,2.0,113.62,92.1,130.8,142.5,10.26,5.8,10.2,11.1,19.33,23.6,32.1,36.6,51.81,N
05/22/2026,8,5534.38,4221.0,4697.0,4747.4,743.2,502.4,504.3,506.5,203.18,203.8,227.2,227.6,911.29,717.7,723.2,773.8,2554.72,1779.7,2374.4,2352.0,499.65,535.3,521.8,531.2,622.34,482.1,346.1,356.3,3914.83,N
05/22/2026,9,16640.46,15034.6,16027.7,15178.2,2060.53,1919.4,1945.4,1703.4,551.08,773.9,496.6,477.1,3743.36,3031.0,3590.6,3649.8,6491.38,5881.6,6550.5,6168.5,1545.85,1744.4,1440.3,1374.3,2248.26,1684.3,2004.3,1805.1,15125.99,N
05/22/2026,10,24776.7,21310.7,23425.2,21934.1,3698.87,2839.9,3380.6,2932.9,1479.66,1199.5,1165.9,1100.3,4876.26,4151.8,4959.8,4889.4,8641.47,8244.9,8026.2,7576.9,2694.84,2410.1,2607.2,2451.3,3385.6,2464.5,3285.5,2983.3,23673.93,N
05/22/2026,11,28322.73,25316.7,27634.1,26061.1,4124.95,3366.4,3931.0,3521.7,2080.88,1517.6,1880.9,1770.0,5056.85,4494.4,4942.8,4847.1,10801.26,10020.2,10324.6,9830.0,2637.64,2654.0,2858.7,2727.8,3621.15,3264.1,3696.1,3364.5,27886.76,N
05/22/2026,12,29783.69,27658.0,29755.4,28010.2,4250.31,3791.4,4223.3,3865.0,2116.79,1762.2,2195.8,2032.7,5100.54,4754.2,4888.8,4740.6,11567.22,10677.6,11566.4,10995.6,2921.24,2908.5,2823.0,2701.3,3827.59,3764.1,4058.1,3675.0,29556.51,N
05/22/2026,13,30103.89,29425.3,30348.3,28597.7,4261.37,3969.0,4198.8,3862.1,2219.98,2148.1,2120.5,2032.3,5085.86,4883.2,4908.4,4742.8,11905.73,11393.2,12260.5,11613.4,2968.37,3019.1,2966.9,2826.4,3662.58,4012.7,3893.2,3520.7,30188.25,N
05/22/2026,14,29368.34,28873.4,29392.2,27952.2,4216.5,3948.2,4099.8,3911.7,2365.73,2319.7,2364.6,2290.7,4798.62,4678.1,4766.2,4595.6,11180.6,10984.3,11311.4,10714.3,3077.49,3014.5,3181.6,3066.3,3729.4,3928.6,3668.6,3373.6,29535.22,N
05/22/2026,15,28011.79,27903.4,27617.9,26085.6,4134.81,3855.8,3966.8,3785.6,2377.03,2274.5,2458.4,2394.6,3172.7,4393.3,3404.7,3076.5,11124.37,10468.7,10729.5,10146.3,3169.44,3015.7,3199.6,3082.3,4033.44,3895.4,3858.9,3600.3,28193.01,N
05/22/2026,16,27351.99,26728.0,26091.7,24486.6,4079.64,3766.2,3889.6,3691.3,2233.67,2259.9,2359.7,2266.0,3087.35,3890.7,2061.3,1828.8,10820.21,9967.1,10514.9,9889.0,3107.68,2990.2,3162.1,3015.7,4023.44,3853.9,4104.1,3795.8,27246.53,N
05/22/2026,17,26635.25,24437.3,25260.2,23141.3,3557.8,3429.0,3310.5,2978.6,1842.2,2178.4,1970.1,1811.0,3637.81,3160.6,2986.0,2706.9,10702.25,9008.8,10330.2,9482.8,2873.32,2823.7,2822.5,2645.7,4021.87,3836.8,3840.9,3516.3,26898.96,N
