DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
09/18/2026,1,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.27,N
09/18/2026,2,0.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,63.31,N
09/18/2026,3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,63.27,N
09/18/2026,4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,63.28,N
09/18/2026,5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,63.29,N
09/18/2026,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,63.5,N
09/18/2026,7,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.56,N
09/18/2026,8,1089.28,970.4,1104.9,1261.3,85.37,69.1,77.6,97.5,33.81,26.4,29.7,34.1,28.56,25.0,32.7,38.3,713.87,631.5,712.2,795.7,57.36,66.8,89.7,101.1,170.31,151.6,163.0,194.6,580.98,N
09/18/2026,9,13845.23,13210.2,13110.6,14006.6,1988.16,1648.0,1805.7,2090.2,885.1,749.8,808.0,877.7,1784.77,1268.1,1443.2,1556.0,6568.2,6594.9,6532.2,6762.2,609.35,970.8,630.2,617.5,2009.65,1978.6,1891.3,2103.0,11036.61,N
09/18/2026,10,27748.88,26488.8,28634.2,28441.6,4150.41,3678.8,4289.4,4320.4,2072.34,1815.0,2126.1,2152.3,4441.82,3668.1,4704.8,4705.2,11961.74,11622.4,12183.3,11986.2,1280.84,1864.5,1395.3,1295.2,3841.73,3840.0,3935.3,3982.3,26666.9,N
