DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
06/20/2026,1,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3.22,N
06/20/2026,2,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3.28,N
06/20/2026,3,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,3.14,N
06/20/2026,4,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.34,N
06/20/2026,5,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,3.05,N
06/20/2026,6,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,3.15,N
06/20/2026,7,124.79,181.6,251.9,278.0,10.23,20.6,28.6,34.9,9.81,13.2,15.9,18.0,2.81,2.5,3.6,3.6,77.99,100.3,144.2,153.9,3.8,4.9,7.7,8.5,20.15,40.1,51.9,59.1,46.93,N
06/20/2026,8,4012.6,4089.1,3512.0,3525.9,719.91,798.0,540.7,579.5,468.79,470.9,342.5,359.1,669.52,625.9,591.1,606.3,1497.04,1280.3,1405.7,1381.9,106.48,201.2,159.3,159.6,550.86,712.8,472.7,439.5,2925.53,N
06/20/2026,9,11119.02,11928.7,10293.2,9760.2,2383.82,2216.3,2087.7,1990.9,1490.34,1470.6,1345.5,1363.5,2497.48,2353.3,2262.0,2150.7,3200.39,3543.7,3329.2,3103.1,397.96,590.8,298.5,287.7,1149.03,1754.0,970.3,864.3,10143.55,N
06/20/2026,10,17056.53,17191.9,14801.5,13743.7,3172.31,2871.9,2994.5,2692.5,1966.76,1939.7,1890.6,1835.3,3871.54,3555.9,3388.2,3167.7,5333.15,5332.8,4645.1,4350.0,613.14,1079.9,411.8,395.6,2099.63,2411.7,1471.3,1302.6,16034.16,N
06/20/2026,11,22290.11,20632.9,20238.7,18861.6,3593.06,3220.2,3537.9,3189.8,2214.49,2194.5,2122.1,2094.7,4831.49,4165.1,4450.0,4298.2,7320.96,6683.0,6572.4,6030.1,883.57,1511.7,694.4,655.7,3446.54,2858.4,2861.9,2593.1,21741.35,N
06/20/2026,12,24790.75,23234.8,24303.2,22468.0,3858.78,3507.7,3588.5,3234.4,2260.01,2278.6,2290.5,2201.5,4987.15,4478.0,4770.9,4552.7,8608.34,7895.8,8658.8,7967.7,1166.89,1861.0,1031.3,952.0,3909.58,3213.7,3963.2,3559.7,24499.64,N
06/20/2026,13,26322.65,25161.4,25950.0,24052.5,3885.79,3749.1,3744.9,3364.9,2308.98,2321.1,2309.1,2249.8,4984.56,4696.8,4836.5,4633.0,9711.64,8952.6,9570.7,8846.6,1184.47,1950.4,1180.5,1088.6,4247.21,3491.4,4308.3,3869.6,26141.47,N
