DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
05/15/2026,1,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.53,N
05/15/2026,2,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,N
05/15/2026,3,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.55,N
05/15/2026,4,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.56,N
05/15/2026,5,0.27,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,N
05/15/2026,6,0.22,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.54,N
05/15/2026,7,117.53,137.5,194.0,214.5,3.65,5.7,7.8,10.1,2.13,4.8,5.1,5.5,0.11,0.0,0.0,0.0,88.21,101.7,147.2,159.8,6.41,4.0,6.2,6.4,17.02,21.3,27.7,32.7,35.41,N
05/15/2026,8,4601.7,4486.4,4046.4,4155.0,363.25,527.0,329.4,360.4,368.05,475.6,253.0,274.9,238.93,403.8,239.8,261.1,2640.24,2143.3,2208.5,2220.8,563.22,448.1,597.9,600.7,428.01,488.6,417.8,437.1,3312.27,N
05/15/2026,9,13872.93,14928.0,13135.6,12460.9,1197.3,2062.4,1130.0,989.0,1475.71,1880.8,1406.9,1429.7,897.96,1891.7,843.7,804.0,7114.59,6105.5,6694.5,6307.8,1938.74,1551.5,2184.1,2084.0,1248.63,1436.1,876.4,846.4,13008.35,N
05/15/2026,10,19060.38,21190.0,17941.1,16815.1,2111.8,3022.2,1665.8,1510.7,1743.3,2305.8,1750.7,1714.1,987.46,2827.8,714.1,667.4,9416.91,8417.2,9353.4,8790.0,2521.3,2282.9,2686.1,2554.9,2279.61,2334.1,1771.0,1578.0,18806.65,N
05/15/2026,11,22976.92,24751.5,22792.2,21406.3,2509.13,3265.1,2819.6,2544.7,1996.41,2337.6,2011.4,1980.5,1786.48,3066.5,1287.8,1171.0,10995.85,10342.0,10656.2,10113.1,2771.42,2798.1,3247.8,3124.6,2917.63,2942.2,2769.4,2472.4,24453.0,N
05/15/2026,12,23699.41,26649.5,26015.6,24250.0,1860.18,3426.7,2789.6,2429.8,2016.42,2322.2,2284.6,2162.3,2181.08,3228.8,2277.1,2048.3,11226.14,11348.7,11515.7,10942.9,2637.41,3093.7,3550.8,3406.8,3778.18,3229.4,3597.8,3259.9,25884.68,N
05/15/2026,13,25156.29,28357.4,26396.1,24668.8,2011.98,3343.0,2300.4,1936.1,2079.02,2345.9,2296.4,2218.1,3088.59,3487.7,2870.7,2640.9,11698.48,12140.2,11736.1,11198.0,2602.54,3322.8,3453.8,3308.2,3675.68,3717.8,3738.7,3367.5,27097.4,N
05/15/2026,14,25111.68,28008.2,26501.0,24841.9,1503.05,3046.2,1859.9,1561.6,1884.65,2251.5,2174.6,2062.3,3949.47,3395.8,3695.9,3384.0,11359.29,12117.9,11578.7,11122.8,2976.19,3353.1,3414.6,3312.7,3439.03,3843.7,3777.3,3398.5,27161.87,N
05/15/2026,15,23108.35,27394.4,24508.0,23015.8,1768.41,2723.0,1478.2,1256.6,1836.27,2196.0,2083.1,1962.1,3591.43,3776.2,4465.9,4187.9,10268.07,11726.9,10676.7,10159.1,3140.13,3284.9,3299.1,3194.9,2504.04,3687.4,2505.0,2255.2,25529.96,N
05/15/2026,16,21951.09,25524.6,22503.5,20930.9,1900.25,2150.9,1799.5,1489.6,1748.51,2052.5,1992.6,1827.6,3698.9,3772.4,4530.6,4263.7,9537.77,10958.9,9396.7,8883.2,2948.31,3103.5,3269.7,3164.0,2117.35,3486.4,1514.4,1302.8,24609.78,N
05/15/2026,17,17507.5,21969.4,19500.8,17784.2,2184.11,1800.2,2303.7,1980.7,1344.17,1705.2,1831.2,1663.2,2893.11,4127.1,4351.8,4095.0,6904.65,9065.6,6877.3,6288.9,2933.42,2894.8,2933.5,2801.3,1248.04,2376.5,1203.3,955.1,21256.83,N
05/15/2026,18,12220.86,17605.3,14286.9,12489.0,2233.53,1836.0,2843.2,2270.4,953.38,1359.6,1206.3,1043.9,1765.49,3645.4,3902.0,3607.9,4010.87,6778.2,3151.8,2709.3,2568.98,2551.1,2599.1,2438.3,688.61,1435.0,584.5,419.2,16260.51,N
05/15/2026,19,8199.02,11692.4,10054.7,8429.4,1210.27,1620.7,2020.4,1573.3,470.85,1043.1,827.1,701.4,1795.34,2726.8,3254.9,2907.6,2183.83,3729.9,1724.1,1344.9,1843.88,1726.7,1810.3,1611.6,694.85,845.2,417.9,290.6,11725.3,N
05/15/2026,20,3831.82,4249.8,3701.2,2838.6,600.07,969.9,573.9,388.0,144.02,358.4,87.3,69.2,1323.19,1451.5,1635.7,1369.5,810.56,719.8,647.0,489.4,616.17,472.3,446.4,356.5,337.81,277.9,310.9,166.0,5385.26,N
05/15/2026,21,444.33,184.4,249.2,190.4,32.15,39.1,34.4,25.1,26.04,26.1,29.9,21.9,115.46,100.6,158.8,127.1,12.19,6.7,5.8,4.2,250.15,5.4,7.9,6.1,8.34,6.5,12.4,6.0,732.26,N
05/15/2026,22,14.91,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,14.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05,N
05/15/2026,23,0.11,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.5,N
05/15/2026,24,0.11,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.49,N
05/16/2026,1,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,3,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,4,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,6,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,N
05/16/2026,7,,125.9,140.8,103.3,,10.2,11.1,8.6,,6.0,6.0,4.0,,0.5,0.5,0.0,,82.6,93.2,68.5,,3.8,4.8,3.3,,22.8,25.2,18.9,,N
05/16/2026,8,,4664.7,5025.3,3657.3,,823.0,854.0,665.9,,518.5,518.5,406.1,,634.4,712.2,530.0,,1718.7,1912.6,1352.1,,371.0,394.0,264.7,,599.1,634.0,438.5,,N
05/16/2026,9,,16720.3,17107.6,12921.5,,2895.3,2974.7,2501.3,,1957.3,1957.3,1736.0,,3207.4,3457.2,2792.2,,5620.5,5620.5,3833.6,,1307.7,1365.8,898.1,,1732.1,1732.1,1160.3,,N
05/16/2026,10,,22995.3,23433.7,18162.2,,3787.2,3888.2,3242.0,,2451.3,2451.3,2312.7,,4331.3,4637.5,4102.4,,7848.1,7848.1,5432.7,,1895.2,1926.4,1297.8,,2682.2,2682.2,1774.6,,N
05/16/2026,11,,26497.0,26974.1,20587.8,,4032.0,4142.9,3367.5,,2474.1,2474.1,2363.7,,4554.2,4866.9,4295.1,,9666.4,9683.3,6694.6,,2359.3,2395.9,1573.2,,3411.0,3411.0,2293.7,,N
05/16/2026,12,,29093.1,29685.0,22156.2,,4235.3,4357.3,3682.5,,2467.3,2467.3,2286.5,,4812.0,5125.6,4339.6,,10943.5,11059.7,7445.4,,2648.9,2689.0,1738.1,,3986.1,3986.1,2664.1,,N
05/16/2026,13,,30974.1,31591.2,23877.2,,4233.9,4356.9,3729.2,,2481.1,2481.1,2276.2,,4944.2,5251.7,4443.1,,12044.0,12190.7,8364.0,,2867.3,2907.2,1936.6,,4403.6,4403.6,3128.1,,N
05/16/2026,14,,31204.2,31821.6,24850.8,,4099.8,4223.7,3650.6,,2435.8,2435.8,2216.8,,4868.9,5163.8,4411.5,,12291.9,12446.7,8868.2,,3103.9,3147.7,2364.6,,4403.9,4403.9,3339.1,,N
05/16/2026,15,,30913.7,31507.4,25065.6,,4121.0,4246.2,3721.6,,2417.3,2417.3,2197.3,,4841.9,5133.3,4425.6,,11962.5,12096.1,8828.3,,3157.0,3200.5,2429.7,,4414.0,4414.0,3463.1,,N
