DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
02/11/2026,1,0.5,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,N
02/11/2026,2,0.38,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,N
02/11/2026,3,0.47,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,N
02/11/2026,4,0.5,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.78,N
02/11/2026,5,0.37,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,N
02/11/2026,6,0.38,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,N
02/11/2026,7,0.39,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,N
02/11/2026,8,789.65,812.9,916.9,1004.6,54.78,46.5,62.1,72.5,24.69,22.5,26.0,29.5,26.89,19.9,26.2,28.3,517.63,509.3,552.6,595.0,67.85,59.7,90.8,95.8,97.81,155.0,159.2,183.5,381.59,N
02/11/2026,9,9075.48,8874.2,7819.6,7872.1,1356.28,1037.4,1181.6,1237.9,839.09,624.1,698.3,706.5,837.48,784.1,895.8,880.6,4247.64,4203.0,3659.9,3652.6,608.41,640.7,562.6,548.4,1186.58,1584.9,821.4,846.1,7122.3,N
02/11/2026,10,18974.71,17839.8,18114.0,17331.9,2868.74,2467.9,2876.5,2774.4,1977.69,1664.1,1933.4,1883.8,2436.1,2038.9,2365.7,2213.9,7663.07,7185.7,7624.1,7314.6,1198.16,1191.0,1206.3,1126.7,2830.95,3292.2,2108.0,2018.5,18171.63,N
02/11/2026,11,22409.73,20575.9,22000.0,20852.0,3195.4,2890.5,3299.0,3153.5,2268.62,1946.6,2328.5,2236.2,2985.68,2514.8,3033.9,2781.1,8615.32,8141.1,8347.4,7934.1,1589.07,1504.9,1515.8,1415.6,3755.64,3578.0,3475.4,3331.5,22378.36,N
02/11/2026,12,24428.32,22506.4,24060.7,22868.8,3165.38,2966.8,3335.0,3194.3,2176.04,2019.2,2285.6,2189.4,3483.74,3054.1,3490.3,3205.1,9602.04,9050.3,9047.5,8672.7,2041.44,1810.5,2038.5,1900.1,3959.68,3605.5,3863.8,3707.2,24414.67,N
02/11/2026,13,25579.7,23837.4,26402.9,25296.4,3205.99,3006.3,3179.4,3069.2,2036.82,2100.2,2171.1,2098.0,3910.81,3559.7,3930.2,3706.3,10180.14,9495.4,10420.6,9982.0,2344.15,1993.3,2545.0,2412.8,3901.79,3682.5,4156.6,4028.1,26135.5,N
02/11/2026,14,25672.9,24595.4,28109.7,27069.5,3186.07,3126.8,3210.8,3119.9,1874.69,2107.3,2159.8,2103.3,4251.96,3770.3,4604.5,4370.0,10192.08,9634.4,11014.0,10612.4,2558.11,2169.1,2931.3,2782.8,3609.99,3787.5,4189.3,4081.1,27183.05,N
02/11/2026,15,26477.93,25749.2,28563.8,27424.5,3263.59,3145.1,3271.6,3200.3,2037.81,2136.8,2246.0,2183.1,4461.17,4057.6,4949.5,4737.4,10602.89,9886.4,11306.9,10839.5,2453.47,2463.7,2710.2,2556.9,3659.0,4059.6,4079.6,3907.3,27760.34,N
02/11/2026,16,26303.52,26647.0,27580.8,26363.2,3309.81,3269.9,3280.5,3174.9,2206.71,2240.3,2298.6,2228.5,4640.69,4648.9,4898.0,4688.8,10158.89,9773.9,10652.7,10120.1,2238.24,2634.0,2492.5,2330.7,3749.18,4080.0,3958.5,3820.2,27432.86,N
02/11/2026,17,22255.61,22902.1,22461.9,20643.9,3038.76,3050.9,2975.3,2757.2,2074.82,2101.1,2110.7,1970.7,4431.62,4617.2,4462.6,4188.0,7449.91,7628.1,7743.4,7023.2,2008.16,2187.2,1878.2,1714.1,3252.34,3317.6,3291.7,2990.7,24075.96,N
02/11/2026,18,8608.4,8039.8,8748.5,6884.9,1347.24,1284.0,1428.8,1067.4,873.79,855.7,910.9,740.0,2469.48,2271.8,2418.5,2018.0,2116.97,1936.4,2147.5,1692.5,769.69,733.0,783.2,650.4,1031.23,958.9,1059.6,716.6,11237.97,N
02/11/2026,19,258.28,217.7,304.9,230.5,36.23,35.3,52.8,38.9,24.35,30.6,36.4,27.9,151.41,121.5,176.1,134.8,18.57,8.0,7.6,5.3,19.99,14.5,22.4,17.9,7.73,7.8,9.6,5.7,648.86,N
02/11/2026,20,10.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.74,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,N
02/11/2026,21,10.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,N
02/11/2026,22,7.43,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,N
