DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
08/02/2026,1,0.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.75,N
08/02/2026,2,0.15,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,N
08/02/2026,3,0.2,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.76,N
08/02/2026,4,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,N
08/02/2026,5,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,N
08/02/2026,6,0.26,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,N
08/02/2026,7,31.13,28.3,41.6,44.6,0.8,0.3,0.5,0.9,0.42,0.0,0.1,0.2,0.0,0.0,0.0,0.0,24.09,24.6,35.5,38.0,0.1,0.0,0.1,0.1,5.72,3.4,5.4,5.4,5.62,N
08/02/2026,8,4443.45,3786.6,3864.6,4303.7,537.25,450.0,474.8,564.1,260.48,235.9,252.7,272.8,351.97,275.3,318.6,354.6,2245.84,1990.2,1908.4,2077.6,127.58,205.7,168.0,178.3,920.33,629.5,742.1,856.3,2885.4,N
08/02/2026,9,19352.51,18747.7,18198.1,18843.2,2667.32,2537.4,2690.4,2872.3,1431.44,1436.5,1459.3,1518.0,2763.41,2461.9,2890.5,2960.4,8491.74,8216.0,7351.8,7513.6,589.15,1057.7,459.3,446.3,3409.45,3038.2,3346.8,3532.6,16772.87,N
08/02/2026,10,27660.56,28584.3,27361.4,27074.9,4055.84,3972.6,4096.7,4116.3,2179.53,2279.2,2185.8,2180.3,4481.08,4378.6,4790.9,4689.2,11047.51,11542.8,10742.3,10587.9,1196.38,1817.4,840.4,798.6,4700.22,4593.7,4705.3,4702.6,27027.81,N
