DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
12/21/2025,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,N
12/21/2025,2,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,N
12/21/2025,3,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,N
12/21/2025,4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,N
12/21/2025,5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,N
12/21/2025,6,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,N
12/21/2025,7,0.53,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,N
12/21/2025,8,180.61,222.0,320.3,342.4,12.06,15.9,18.9,21.2,3.33,3.6,4.0,4.2,6.48,5.5,8.6,8.2,120.94,132.6,196.5,208.7,15.2,39.0,60.2,63.7,22.6,25.4,32.1,36.4,83.28,N
12/21/2025,9,5027.39,4710.5,5125.4,5126.0,729.73,779.5,816.1,832.2,511.56,502.5,542.3,564.3,1253.52,1133.5,1132.6,1186.2,1859.17,1309.4,1900.2,1828.3,422.2,655.4,336.7,333.4,251.21,330.2,397.5,381.6,3880.42,N
12/21/2025,10,12280.87,11073.4,12453.4,11946.6,1588.59,1764.7,1729.1,1659.1,1658.52,1498.0,1751.7,1736.0,3582.25,3325.0,3701.9,3660.4,3660.4,2515.4,3935.4,3642.3,1236.47,1349.0,860.3,822.9,554.64,621.3,475.0,425.9,11843.91,N
12/21/2025,11,14233.54,13887.3,14397.3,13403.2,2081.03,2112.7,1804.7,1654.9,1825.76,1780.7,1968.0,1893.9,3880.47,3771.0,4261.2,4078.7,3942.44,3603.3,4229.7,3835.5,1641.96,1633.0,1435.2,1348.9,861.88,986.6,698.5,591.3,14096.38,N
12/21/2025,12,15125.47,14656.3,14628.2,13474.6,2302.04,2098.9,2182.8,1955.0,1701.38,1728.2,1738.3,1656.7,3710.49,3703.9,3736.3,3557.3,4361.73,4372.2,4162.8,3760.1,1914.42,1660.9,1835.0,1720.6,1135.41,1092.2,973.0,824.9,15084.74,N
12/21/2025,13,15773.78,14881.3,15389.3,14301.5,2349.52,1976.5,2305.6,2099.6,1571.16,1632.6,1630.1,1565.6,3592.16,3629.7,3531.3,3392.9,4772.33,4764.6,4583.8,4200.0,1968.22,1701.2,2009.0,1888.4,1520.39,1176.7,1329.5,1155.0,15615.5,N
12/21/2025,14,16766.53,14784.3,17264.8,16076.2,2505.43,2038.9,2587.2,2332.7,1484.87,1617.1,1549.8,1497.2,3650.66,3561.6,3634.0,3518.9,5473.82,4702.0,5541.5,5106.7,2043.39,1773.6,2112.4,2010.9,1608.36,1091.1,1839.9,1609.8,16760.96,N
12/21/2025,15,16379.71,14856.0,17207.1,15988.0,2530.75,2230.9,2654.4,2450.3,1656.72,1737.1,1464.0,1402.3,3825.75,3692.7,3819.0,3691.1,4798.81,4354.6,5437.2,4946.3,2096.8,1865.8,2173.3,2051.8,1470.88,974.9,1659.2,1446.2,16569.69,N
12/21/2025,16,15341.74,14255.3,15467.5,14168.2,2503.71,2298.4,2535.0,2303.7,1824.09,1724.3,1783.7,1678.9,3905.72,3823.0,3822.9,3627.7,3773.51,3734.0,4004.4,3542.6,2024.43,1741.0,1983.0,1860.5,1310.28,934.6,1338.5,1154.8,15714.66,N
12/21/2025,17,9100.41,8522.5,9360.4,7963.8,1532.86,1474.2,1576.0,1312.8,1078.89,901.8,1086.8,907.7,2925.01,2800.5,2823.0,2448.1,1611.37,1739.7,1786.5,1500.9,1289.64,1099.6,1326.7,1174.8,662.64,506.7,761.4,619.5,10740.43,N
12/21/2025,18,954.02,865.4,1168.8,900.7,139.22,140.6,189.7,141.7,95.45,91.8,121.0,92.1,474.5,411.8,558.3,423.1,75.72,72.4,87.8,72.0,132.79,112.8,162.2,132.3,36.34,36.0,49.8,39.5,1928.36,N
12/21/2025,19,0.37,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,N
12/21/2025,20,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.9,N
