DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
06/19/2026,1,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.45,N
06/19/2026,2,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.44,N
06/19/2026,3,0.57,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,N
06/19/2026,4,0.61,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.47,N
06/19/2026,5,0.63,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.46,N
06/19/2026,6,0.63,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.48,N
06/19/2026,7,69.86,131.4,198.7,213.4,1.5,8.3,11.0,12.9,0.03,4.1,4.4,4.8,0.93,1.3,3.2,3.3,62.3,91.9,144.9,155.2,4.51,6.0,9.7,10.2,0.59,19.8,25.5,27.0,25.25,N
06/19/2026,8,1799.39,2449.4,1974.1,1947.7,97.69,250.1,153.6,148.8,12.63,84.1,22.9,23.3,73.16,363.9,207.0,216.2,1321.61,1224.4,1240.6,1213.4,255.94,254.4,305.1,304.7,38.36,272.5,44.9,41.3,1387.11,N
06/19/2026,9,4904.94,6550.9,4405.8,4079.7,136.18,731.7,92.3,69.8,155.37,214.7,61.0,56.4,519.82,1301.6,183.3,174.2,3100.98,2951.3,3118.8,2892.3,801.44,768.4,851.9,812.8,191.15,583.2,98.5,74.2,4568.3,N
06/19/2026,10,7885.08,9880.6,6859.8,6408.2,219.62,955.0,149.1,118.0,252.4,405.5,233.0,219.6,1738.84,2123.9,953.2,893.9,4193.76,4193.3,4056.5,3800.4,1227.29,1342.8,1340.8,1277.8,253.17,860.1,127.2,98.5,7491.94,N
06/19/2026,11,10407.66,12893.6,9221.0,8487.8,390.5,1423.8,212.1,140.2,486.03,851.1,357.2,336.1,2831.64,2488.5,2342.9,2166.9,5038.49,5193.4,4784.3,4461.3,1358.11,1766.5,1350.6,1261.8,302.89,1170.3,173.9,121.5,10152.13,N
06/19/2026,12,12447.54,15126.8,12052.5,10722.4,712.77,1726.8,579.8,407.2,1550.64,1002.3,1159.7,1028.3,2714.96,2797.8,2980.0,2647.3,5546.64,5792.5,5465.1,4992.1,1517.88,2138.0,1434.0,1327.5,404.65,1669.4,433.9,320.0,12240.92,N
